source_database	object_type	object_name	lifecycle	disposition	target_owner	fixture_case	parity_category	pii_class	retention_policy	cutover_writer	follow_up
booking	table	public.booking_promo_codes	active	transform	booking	booking-checkout	booking-promos	private	domain-record	apps/api:booking	VAY-1355
booking	table	public.booking_promo_redemptions	dev_only	transform	booking	booking-checkout	booking-promos	private	domain-record	apps/api:booking	VAY-1400
booking	table	public.commission_rate_changes	active	migrate	finance	finance	finance-ledger	private	domain-record	apps/api:finance	VAY-1358
booking	table	public.lodgify_connections	dropped	snapshot_only	none	none	retired-sources	private	rollback-window	none	VAY-1351
booking	manual_writer	scripts/backfill_benefits_from_pms.py	manual_only	retire	none	none	property-catalog	private	cutover-control	none	VAY-1354
marketplace	extension	uuid-ossp	active	snapshot_only	none	none	schema-fingerprint	none	migration-evidence	none	VAY-1351
marketplace	table	public.schema_migrations	active	snapshot_only	none	none	schema-fingerprint	none	migration-evidence	none	VAY-1351
marketplace	sequence	public.schema_migrations_id_seq	active	snapshot_only	none	none	schema-fingerprint	none	migration-evidence	none	VAY-1351
marketplace	table	public.chat_messages	active	migrate	marketplace	marketplace	marketplace-chat	pii	pii-lifecycle	apps/api:marketplace	VAY-1357
marketplace	table	public.collaboration_deliverables	active	migrate	marketplace	marketplace	marketplace-collaborations	private	domain-record	apps/api:marketplace	VAY-1357
marketplace	table	public.collaborations	active	migrate	marketplace	marketplace	marketplace-collaborations	private	domain-record	apps/api:marketplace	VAY-1357
marketplace	table	public.consent_history	dropped	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
marketplace	table	public.cookie_consent	dropped	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
marketplace	table	public.creator_platforms	active	migrate	marketplace	marketplace	marketplace-creators	private	domain-record	apps/api:marketplace	VAY-1357
marketplace	table	public.creator_ratings	active	migrate	marketplace	marketplace	marketplace-creators	private	domain-record	apps/api:marketplace	VAY-1357
marketplace	table	public.creators	active	transform	marketplace	marketplace	marketplace-creators	pii	pii-lifecycle	apps/api:marketplace	VAY-1357
marketplace	table	public.email_verification_codes	dropped	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
marketplace	table	public.email_verification_tokens	dropped	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
marketplace	table	public.external_collaborations	active	migrate	marketplace	marketplace	marketplace-collaborations	private	domain-record	apps/api:marketplace	VAY-1357
marketplace	table	public.gdpr_requests	dropped	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
marketplace	table	public.hotel_listings	active	transform	marketplace	marketplace	marketplace-offers	private	domain-record	apps/api:marketplace	VAY-1357
marketplace	table	public.hotel_profiles	active	transform	hotel_catalog	property-catalog-public-profiles	property-catalog	pii	pii-lifecycle	apps/api:hotel-catalog	VAY-1354
marketplace	table	public.invite_codes	active	migrate	marketplace	marketplace	marketplace-invites	private	domain-record	apps/api:marketplace	VAY-1357
marketplace	table	public.listing_collaboration_offerings	active	transform	marketplace	marketplace	marketplace-offers	private	domain-record	apps/api:marketplace	VAY-1357
marketplace	table	public.listing_creator_requirements	active	transform	marketplace	marketplace	marketplace-offers	private	domain-record	apps/api:marketplace	VAY-1357
marketplace	table	public.newsletter_preferences	active	migrate	marketplace	marketplace	marketplace-preferences	private	domain-record	apps/api:marketplace	VAY-1357
marketplace	table	public.notifications	active	migrate	marketplace	marketplace	marketplace-notifications	private	domain-record	apps/api:marketplace	VAY-1357
marketplace	table	public.password_reset_tokens	dropped	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
marketplace	table	public.trips	active	migrate	marketplace	marketplace	marketplace-collaborations	private	domain-record	apps/api:marketplace	VAY-1357
marketplace	table	public.users	dropped	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
marketplace	manual_writer	scripts/run_gdpr_migrations.py	manual_only	retire	none	none	retired-sources	pii	cutover-control	none	VAY-1352
marketplace	manual_writer	scripts/backfill_listing_status.py	manual_only	retire	none	none	marketplace-offers	private	cutover-control	none	VAY-1357
pms	extension	uuid-ossp	active	snapshot_only	none	none	schema-fingerprint	none	migration-evidence	none	VAY-1351
pms	table	public.schema_migrations	active	snapshot_only	none	none	schema-fingerprint	none	migration-evidence	none	VAY-1351
pms	sequence	public.schema_migrations_id_seq	active	snapshot_only	none	none	schema-fingerprint	none	migration-evidence	none	VAY-1351
pms	table	public.affiliate_clicks	active	migrate	finance	finance	finance-attribution	pii	pii-lifecycle	apps/api:finance	VAY-1358
pms	table	public.affiliate_payout_settings	active	migrate	finance	finance	finance-payouts	pii	pii-lifecycle	apps/api:finance	VAY-1358
pms	table	public.affiliates	active	transform	marketplace	marketplace	marketplace-affiliates	pii	pii-lifecycle	apps/api:marketplace	VAY-1357
pms	table	public.beds24_booking_mappings	dropped	snapshot_only	none	none	retired-sources	private	rollback-window	none	VAY-1351
pms	table	public.beds24_connections	dropped	snapshot_only	none	none	retired-sources	private	rollback-window	none	VAY-1351
pms	table	public.beds24_room_mappings	dropped	snapshot_only	none	none	retired-sources	private	rollback-window	none	VAY-1351
pms	table	public.booking_additional_guests	active	migrate	booking	booking-checkout	booking-guests	pii	pii-lifecycle	apps/api:booking	VAY-1355
pms	table	public.booking_change_requests	active	migrate	booking	booking-checkout	booking-changes	private	domain-record	apps/api:booking	VAY-1355
pms	table	public.booking_checkin_records	active	migrate	pms	pms-operations	pms-checkin	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.booking_checkout_charges	active	transform	pms	pms-operations	pms-checkout	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.booking_checkout_records	active	migrate	pms	pms-operations	pms-checkout	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.booking_drafts	active	transform	booking	booking-checkout	booking-drafts	pii	pii-lifecycle	apps/api:booking	VAY-1355
pms	table	public.booking_events	active	migrate	platform	platform-jobs-events-audit	audit-events	private	domain-record	apps/api:platform	VAY-1356
pms	table	public.booking_notes	active	migrate	pms	pms-operations	pms-booking-notes	pii	pii-lifecycle	apps/api:pms	VAY-1356
pms	table	public.booking_notification_deliveries	active	transform	platform	platform-jobs-events-audit	job-deliveries	private	domain-record	apps/api:platform	VAY-1356
pms	table	public.booking_promo_usage_state	active	transform	booking	booking-checkout	booking-promos	private	domain-record	apps/api:booking	VAY-1355
pms	table	public.booking_rooms	active	migrate	pms	pms-operations	pms-assignments	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.bookings	active	transform	booking	booking-checkout	booking	pii	pii-lifecycle	apps/api:booking	VAY-1355
pms	table	public.cancellation_policies	active	transform	pms	pms-operations	pms-policies	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.channex_booking_mappings	active	migrate	pms	pms-operations	channel-mappings	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.channex_channel_markups	active	migrate	pms	pms-operations	channel-mappings	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.channex_connections	active	migrate	pms	pms-operations	channel-connections	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.channex_rate_plan_mappings	active	migrate	pms	pms-operations	channel-mappings	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.channex_room_type_mappings	active	migrate	pms	pms-operations	channel-mappings	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.channex_webhook_events	active	transform	platform	platform-jobs-events-audit	provider-webhooks	private	domain-record	apps/api:platform	VAY-1356
pms	table	public.checkin_checklist_templates	active	migrate	pms	pms-operations	pms-checkin	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.checkout_inspection_templates	active	migrate	pms	pms-operations	pms-checkout	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.conversations	dropped	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1351
pms	table	public.hotel_payment_settings	active	transform	finance	finance	finance-payments	pii	pii-lifecycle	apps/api:finance	VAY-1358
pms	table	public.hotels	active	transform	hotel_catalog	property-catalog-public-profiles	property-catalog	pii	pii-lifecycle	apps/api:hotel-catalog	VAY-1354
pms	table	public.linked_inventory_group_members	active	transform	pms	pms-operations	pms-inventory	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.linked_inventory_groups	active	migrate	pms	pms-operations	pms-inventory	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.message_attachments	active	migrate	pms	pms-operations	pms-messaging	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.message_sync_state	dropped	snapshot_only	none	none	retired-sources	private	rollback-window	none	VAY-1351
pms	table	public.message_threads	active	migrate	pms	pms-operations	pms-messaging	pii	pii-lifecycle	apps/api:pms	VAY-1356
pms	table	public.messages	active	migrate	pms	pms-operations	pms-messaging	pii	pii-lifecycle	apps/api:pms	VAY-1356
pms	table	public.payments	active	migrate	finance	finance	finance-payments	pii	pii-lifecycle	apps/api:finance	VAY-1358
pms	table	public.payouts	active	migrate	finance	finance	finance-payouts	private	domain-record	apps/api:finance	VAY-1358
pms	table	public.property_module_activations	active	transform	finance	finance	finance-entitlements	private	domain-record	apps/api:finance	VAY-1358
pms	table	public.room_blocks	active	migrate	pms	pms-operations	pms-inventory	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.room_types	active	transform	pms	pms-operations	pms-room-types	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.rooms	active	migrate	pms	pms-operations	pms-rooms	private	domain-record	apps/api:pms	VAY-1356
pms	table	public.stripe_billing_webhook_events	active	transform	platform	platform-jobs-events-audit	provider-webhooks	private	domain-record	apps/api:platform	VAY-1358
pms	table	platform.media_objects	active	transform	platform	platform-media	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	table	platform.media_variants	active	transform	platform	platform-media	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	scheduler	expire_pending_bookings	active	transform	booking	booking-checkout	booking-jobs	private	cutover-control	apps/api:booking-jobs	VAY-1360
pms	scheduler	cancel_stale_unpaid_bookings	active	transform	booking	booking-checkout	booking-jobs	private	cutover-control	apps/api:booking-jobs	VAY-1360
pms	scheduler	cleanup_expired_drafts	active	transform	booking	booking-checkout	booking-jobs	pii	cutover-control	apps/api:booking-jobs	VAY-1360
pms	scheduler	process_property_payouts	active	transform	finance	finance	finance-payouts	pii	cutover-control	apps/api:finance-jobs	VAY-1360
pms	scheduler	process_affiliate_payouts	active	transform	finance	finance	finance-payouts	pii	cutover-control	apps/api:finance-jobs	VAY-1360
pms	scheduler	poll_xendit_processing_payouts	active	transform	finance	finance	provider-reconciliation	private	cutover-control	apps/api:finance-jobs	VAY-1360
pms	scheduler	poll_channex_bookings	active	transform	pms	pms-operations	channel-reconciliation	pii	cutover-control	apps/api:pms-jobs	VAY-1360
pms	scheduler	full_channex_ari_sync	active	transform	pms	pms-operations	channel-reconciliation	private	cutover-control	apps/api:pms-jobs	VAY-1360
pms	scheduler	advance_calendar_auto_open_windows	active	transform	pms	pms-operations	pms-inventory	private	cutover-control	apps/api:pms-jobs	VAY-1360
pms	scheduler	sync_fixed_plan_subscription_prices	active	transform	finance	finance	finance-entitlements	private	cutover-control	apps/api:finance-jobs	VAY-1360
pms	background_writer	run_promo_usage_reconciler	active	transform	booking	booking-checkout	booking-promos	private	cutover-control	apps/api:booking-jobs	VAY-1360
pms	manual_writer	poll_channex_messages	manual_only	transform	pms	pms-operations	channel-reconciliation	pii	cutover-control	apps/api:pms-jobs	VAY-1360
pms	manual_writer	scripts/backfill_room_names_vay322.py	manual_only	retire	none	none	pms-rooms	private	cutover-control	none	VAY-1356
pms	manual_writer	scripts/sync_hotel_names_from_booking_engine.py	manual_only	retire	none	none	property-catalog	private	cutover-control	none	VAY-1354
pms	manual_writer	scripts/unify_hotel_ids.py	manual_only	retire	none	none	property-identity	private	cutover-control	none	VAY-1354
pms	manual_writer	scripts/seed_mock_data.py	dev_only	retire	none	none	no-production-use	pii	cutover-control	none	VAY-1363
pms	provider_control	channex:read-model	active	transform	pms	pms-operations	channel-control	private	cutover-control	apps/api:pms	VAY-1360
pms	provider_control	channex:enable-disable	active	transform	pms	pms-operations	channel-control	private	cutover-control	apps/api:pms	VAY-1360
pms	provider_control	channex:provisioning	active	transform	pms	pms-operations	channel-control	private	cutover-control	apps/api:pms	VAY-1360
pms	provider_control	channex:markups	active	transform	pms	pms-operations	channel-control	private	cutover-control	apps/api:pms	VAY-1360
pms	provider_control	channex:manual-ari-sync	active	transform	pms	pms-operations	channel-reconciliation	private	cutover-control	apps/api:pms	VAY-1360
pms	provider_control	channex:manual-booking-sync	active	transform	pms	pms-operations	channel-reconciliation	pii	cutover-control	apps/api:pms	VAY-1360
pms	provider_control	channex:messaging	active	transform	pms	pms-operations	channel-messaging	pii	cutover-control	apps/api:pms	VAY-1360
pms	provider_control	channex:iframe-url	active	transform	pms	pms-operations	channel-control	private	cutover-control	apps/api:pms	VAY-1360
pms	provider_control	channex:webhook-setup	active	transform	pms	pms-operations	provider-webhooks	private	cutover-control	apps/api:pms	VAY-1360
pms	provider_control	POST /admin/xendit/reconcile-payouts	active	transform	finance	finance	provider-reconciliation	pii	cutover-control	apps/api:finance	VAY-1360
pms	webhook	/webhooks/stripe	active	transform	finance	finance	provider-webhooks	pii	cutover-control	apps/api:provider-webhooks	VAY-947
pms	webhook	/webhooks/stripe/connect	active	transform	finance	finance	provider-webhooks	pii	cutover-control	apps/api:provider-webhooks	VAY-947
pms	webhook	/webhooks/xendit	active	transform	finance	finance	provider-webhooks	pii	cutover-control	apps/api:provider-webhooks	VAY-1360
pms	webhook	/webhooks/channex	active	transform	pms	pms-operations	provider-webhooks	pii	cutover-control	apps/api:provider-webhooks	VAY-947
marketplace	object_prefix	hotels	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
marketplace	object_prefix	listings	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
marketplace	object_prefix	creators	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
marketplace	object_prefix	chat	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
marketplace	object_prefix	images	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
marketplace	object_prefix	client-supplied:*	active	transform	platform	none	media-prefix-discovery	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
marketplace	object_store	S3_BUCKET_NAME	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
auth	object_reference	public.users.avatar	active	transform	platform	none	platform-media	pii	media-lifecycle	apps/api:platform-media	VAY-1055
booking	object_reference	public.booking_hotels.hero_image	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
booking	object_reference	public.booking_hotels.images	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
booking	object_reference	public.booking_hotels.branding_logo_url	active	transform	platform	none	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
booking	object_reference	public.booking_hotels.branding_favicon_url	active	transform	platform	none	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
booking	object_reference	public.booking_addons.image	active	transform	platform	none	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
marketplace	object_reference	public.users.avatar	dropped	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
marketplace	object_reference	public.hotel_profiles.picture	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
marketplace	object_reference	public.hotel_listings.images	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
marketplace	object_reference	public.creators.profile_picture	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
marketplace	object_reference	public.chat_messages.content	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	object_prefix	rooms	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	object_prefix	private	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	object_store	S3_BUCKET_NAME	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	object_reference	public.room_types.images	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	object_reference	external.room_image_imports.source_url	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	object_reference	public.message_attachments.s3_key	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	object_reference	public.message_attachments.source_url	active	transform	platform	media-url-migration	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	object_reference	platform.media_objects.bucket	active	transform	platform	platform-media	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	object_reference	platform.media_objects.storage_key	active	transform	platform	platform-media	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	object_reference	platform.media_objects.source_url	active	transform	platform	platform-media	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	object_reference	platform.media_variants.storage_key	active	transform	platform	platform-media	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
pms	object_reference	platform.media_variants.public_cdn_url	active	transform	platform	platform-media	platform-media	conditional	media-lifecycle	apps/api:platform-media	VAY-1055
